transaction_id,category,amount_bank,amount_company,likely_reason,confidence,cited_rule,routing
T1002,Missing in Company,500.0,,"Company ledger missing the transaction, no entry recorded.",90,Missing transaction in company records,Auto-Resolved
T1003,Missing in Bank,,750.0,"The company recorded a payment of 750.0 on 2026-01-02, but the bank statement for that period has not been uploaded or processed, resulting in no corresponding bank entry.",80,Missing in Bank rule (incomplete bank data),Auto-Resolved
T1004,Amount Mismatch,980.0,1000.0,"Bank likely deducted a fee or service charge before posting the transaction, causing the amount to be slightly lower than the company’s recorded amount.",85,RULE_BANK_FEE_DEDUCTION,Auto-Resolved
T1005,Amount Mismatch,200.0,1000.0,"The company recorded a full payment of 1000.0, but the bank statement only reflects 200.0, suggesting a partial or split payment that was not fully captured or an entry error on the company side.",85,"Rule: Partial payment mismatch – when bank amount is less than company amount by a significant margin, it indicates an unrecorded split payment or data entry error.",Auto-Resolved
T1006,Duplicate,300.0,300.0,"The company ledger contains the same transaction twice, causing a duplicate entry.",95,Duplicate transaction detection rule: triggers when the same transaction ID appears more than once in the company records.,Auto-Resolved
T1006,Duplicate,300.0,300.0,"The company has entered the transaction twice, causing a duplicate entry that the matching engine flags.",90,"Duplicate detection rule: if a transaction_id appears more than once on either side with identical amount and date, it is flagged as a duplicate.",Auto-Resolved
T1008,Amount Mismatch,999.99,1000.0,A minor rounding difference (0.01) between the bank and company records.,90,small_discrepancy,Auto-Resolved
T1009,Amount Mismatch,48000.0,50000.0,"The bank deducted a service fee (approximately 2,000) before posting the net amount, so the company’s recorded amount (50,000) does not match the bank amount (48,000).",70,bank_fee_difference,Needs Human Review
T1010,Amount Mismatch,700.0,1000.0,"A bank fee or remittance adjustment reduced the amount received, so the bank records a lower figure than the company expected.",80,Rule: bank fee or adjustment leads to amount mismatch when bank amount is <90% of company amount,Auto-Resolved
T1011,Amount Mismatch,250.5,250.45,"The bank rounded the amount to 250.50 while the company recorded 250.45, causing a minor 5‑cent discrepancy.",90,small_discrepancy tolerance rule for rounding differences within 0.1,Auto-Resolved
T1012,Duplicate,600.0,600.0,"The bank recorded the same payment twice, creating two identical entries for the same transaction ID while the company only has one entry, triggering a duplicate flag.",92,"Duplicate detection rule: If the bank has multiple records with the same transaction_id, amount, and date that match a single company record, flag as duplicate.",Auto-Resolved
T1012,Duplicate,600.0,600.0,"The bank system recorded the same transaction twice, creating a duplicate entry that the matching engine flagged.",90,Duplicate detection rule: multiple bank records with the same transaction_id and amount trigger a duplicate flag.,Auto-Resolved
T2007,Amount Mismatch,4062.18,4066.21,A small bank fee or rounding error caused the bank to record a slightly lower amount,85,"If the amount difference is ≤ 5.00, treat as a small discrepancy due to rounding or bank fees",Auto-Resolved
T2010,Amount Mismatch,1949.17,1961.64,The difference is likely due to a bank transaction fee or minor rounding that was applied to the bank statement but not recorded in the company ledger.,80,small_discrepancy,Auto-Resolved
T2016,Amount Mismatch,1500.54,1518.0,"The bank records the net amount after deducting a small service fee or rounding adjustment, while the company records the gross transaction amount, resulting in a minor discrepancy (~$17.46).",85,Amount Mismatch – Small difference threshold due to bank fees or currency rounding,Auto-Resolved
T2019,Missing in Bank,,3383.86,"The transaction exists in the company books but has not yet appeared in the bank statement, likely because the bank record is missing or the statement has not been loaded.",90,BankMissingTransactionRule,Auto-Resolved
T2023,Amount Mismatch,1160.37,1176.11,A minor rounding or small fee adjustment during processing caused the company to record a slightly higher amount than the bank.,80,small_discrepancy,Auto-Resolved
T2024,Amount Mismatch,1213.72,1222.34,A small bank fee or rounding adjustment was deducted from the transaction amount.,80,small_discrepancy rule for bank fee adjustments,Auto-Resolved
T2025,Amount Mismatch,417.34,424.32,"A small fee or rounding difference (e.g., bank processing charge or currency conversion) caused the company record to be slightly higher than the bank statement.",80,R003: small_discrepancy indicates minor rounding or fee differences,Auto-Resolved
T2026,Amount Mismatch,3298.44,3311.65,The 13.21 difference is likely due to a small bank transaction fee or rounding error from currency conversion.,85,small_discrepancy,Auto-Resolved
T2031,Amount Mismatch,541.56,545.46,A minor rounding or processing fee caused a slight difference of $3.90 between bank and company records.,85,small_discrepancy threshold rule,Auto-Resolved
T2034,Missing in Bank,,2393.44,"The bank statement does not contain this transaction, likely because it hasn't been processed yet or the statement hasn't been loaded.",90,Missing in Bank - bank record absent,Auto-Resolved
T2038,Missing in Bank,,874.97,"The transaction exists only in the company records and not in the bank statement, indicating it has not yet been posted to the bank or the bank statement import is missing it.",80,Missing in Bank flag triggers when no corresponding bank entry is found for a company transaction.,Auto-Resolved
T2039,Amount Mismatch,1379.96,1390.61,"The company’s amount includes a bank fee or rounding adjustment that the bank statement does not reflect, causing a small $10.65 discrepancy.",80,small_discrepancy,Auto-Resolved
T2043,Missing in Bank,,3915.27,"The bank statement does not contain this transaction, possibly due to it not yet being processed or missing from the bank data feed.",90,Bank data missing leads to Missing in Bank flag.,Auto-Resolved
T2044,Missing in Bank,,2494.17,"The transaction has not yet appeared in the bank statement, likely due to a processing delay or missing bank extraction.",85,Missing in Bank rule: bank records empty but company has entry.,Auto-Resolved
T2046,Missing in Company,1280.27,,"The company ledger has no entry for this transaction, likely because the entry hasn't been recorded or was omitted during data entry.",90,Missing company entry due to incomplete record status,Auto-Resolved
T2047,Missing in Bank,,2481.35,"Bank statement lacks the transaction, likely because it hasn't been posted or the bank file was incomplete.",90,Rule: Missing bank transaction when bank data is empty or transaction not found.,Auto-Resolved
T2050,Missing in Bank,,3072.31,"The bank statement data for this period is incomplete or has not yet been loaded, so the transaction is absent from the bank records.",85,B1: Bank statement missing entry due to incomplete data sync,Auto-Resolved
T2057,Amount Mismatch,427.91,430.26,A small bank service fee or rounding difference caused the $2.35 discrepancy.,80,small_discrepancy_threshold,Auto-Resolved
T2059,Missing in Bank,,2742.25,"The company recorded a transaction that is not yet present in the bank statement, likely because the bank posting date falls outside the current statement period or the transaction is still pending.",80,Missing in Bank detection rule,Auto-Resolved
